,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
0,World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),,,World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),WWE,World Wide Wrestling Federation (WWWF),World Wide Wrestling Federation (WWWF),WWE_Championship,World Wide Wrestling Federation (WWWF),
1,Buddy Rogers,"April 11, 1963",36,22,,,House show,"Washington, D.C.",1,"Won a fictional tournament in Rio de Janeiro after the WWWF left the National Wrestling Alliance (NWA), of which Rogers had been the 7th NWA World Heavyweight Champion since defeating Pat O'Connor on June 30, 1961. After Rogers' one fall loss to Lou Thesz for the title on January 24, 1963, Northeast promoters (led by Vince McMahon Sr. and Toots Mondt) did not recognize this title change and withdrew their membership from the NWA to form the World Wide Wrestling Federation (WWWF). The WWWF billed Rogers as their world champion since January 25, 1963, but it did not recognize him as the first ever WWWF World Heavyweight Champion until April 11, 1963, when he received the title belt. However, WWE lists Rogers' reign and the establishment of the title beginning on April 25, 1963.",WWE,[15][16][17][18][19][20][21],1,WWE_Championship,,
2,Bruno Sammartino,"May 17, 1963",2803,2803,,,House show,"New York, NY",2,,WWE,[22],1,WWE_Championship,,
3,Ivan Koloff,"January 18, 1971",21,21,,,House show,"New York, NY",3,,WWE,[23],1,WWE_Championship,,
4,Pedro Morales,"February 8, 1971",1027,1027,,,House show,"New York, NY",4,The title was renamed the WWWF Heavyweight Championship when the WWWF rejoined the NWA in 1971.,WWE,[24],1,WWE_Championship,,
5,National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),,,National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),WWE,National Wrestling Alliance: World Wide Wrestling Federation (WWWF),National Wrestling Alliance: World Wide Wrestling Federation (WWWF),WWE_Championship,National Wrestling Alliance: World Wide Wrestling Federation (WWWF),
6,Stan Stasiak,"December 1, 1973",9,9,,,House show,"Philadelphia, PA",5,,WWE,[25],1,WWE_Championship,,
7,Bruno Sammartino,"December 10, 1973",1237,1237,,,House show,"New York, NY",6,,WWE,[26],2,WWE_Championship,,
8,Superstar Billy Graham,"April 30, 1977",296,296,,,House show,"Baltimore, MD",7,,WWE,[27],1,WWE_Championship,,
9,Bob Backlund,"February 20, 1978",648,2135,,,WWF on MSG Network,"New York, NY",8,The title was renamed the WWF Heavyweight Championship when the WWWF became the World Wrestling Federation (WWF) in March 1979 for marketing purposes.,WWE,[28][29][30],1,WWE_Championship,,
10,National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),,,National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),WWE,National Wrestling Alliance: World Wrestling Federation (WWF),National Wrestling Alliance: World Wrestling Federation (WWF),WWE_Championship,National Wrestling Alliance: World Wrestling Federation (WWF),
11,Antonio Inoki,"November 30, 1979",6,—,,,Toukon Series,"Tokushima, Japan",†,,WWE,[16][31][32],—,WWE_Championship,,
12,Vacated,"December 6, 1979",—,—,,,—,"Tokyo, Japan",—,Inoki immediately vacated the title after a title defense rematch with Bob Backlund ended in a no contest due to the interference of New Japan Pro-Wrestling's Tiger Jeet Singh.,WWE,[16][31],—,WWE_Championship,,
13,Bob Backlund,"December 17, 1979",1470,—,,,WWF on MSG Network,"New York, NY",†,"Defeated Bobby Duncum in a Texas death match to fill the vacancy. On October 19, 1981, following a controversial match with Greg Valentine in Madison Square Garden, the title was vacated (recognized only in New York City) by the NY State Athletic Commission. Backlund defeated Valentine in a rematch in MSG on November 23, 1981 to end the vacancy. WWE recognizes this whole period as one uninterrupted reign.",WWE,[16][31][33][34],1,WWE_Championship,,
14,The Iron Sheik,"December 26, 1983",28,28,,,WWF on MSG Network,"New York, NY",9,The Iron Sheik won by submission when Bob Backlund's manager Arnold Skaaland threw in the towel when Backlund was put into Sheik's camel clutch to prevent any major injury. The title was renamed the WWF World Heavyweight Championship when the WWF ended its affiliation with the NWA.,WWE,[35][36],1,WWE_Championship,,
15,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),,,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),WWE,World Wrestling Federation (WWF),World Wrestling Federation (WWF),WWE_Championship,World Wrestling Federation (WWF),
16,Hulk Hogan,"January 23, 1984",1474,1474,,,WWF on MSG Network,"New York, NY",10,,WWE,[37],1,WWE_Championship,,
17,André the Giant,"February 5, 1988",<1,<1,,,The Main Event I,"Indianapolis, IN",11,"Defeated Hulk Hogan when referee Earl Hebner, who was bribed by Ted DiBiase, scored the three-count despite Hogan raising his shoulder at the one-count.",WWE,[38],1,WWE_Championship,,
